xaxis,yaxis,filename,cluster,flog
-4.481131144953745427e+00,5.353577341031995118e+00,1.320000000000000000e+02,0.000000000000000000e+00,1.108000000000000007e+01
-8.793440541601814653e-01,3.057872077014507362e+00,1.050000000000000000e+02,0.000000000000000000e+00,1.191000000000000014e+01
2.029160659329881933e-01,1.027714486100965718e+00,1.070000000000000000e+02,0.000000000000000000e+00,1.199000000000000021e+01
-7.974710099023406329e+00,6.322629083101933389e+00,1.930000000000000000e+02,0.000000000000000000e+00,1.058999999999999986e+01
-5.218579252002644608e+00,3.852285747944415473e+00,2.500000000000000000e+01,0.000000000000000000e+00,1.351999999999999957e+01
-2.601070960138290644e+00,4.533682580946597263e+00,2.600000000000000000e+01,0.000000000000000000e+00,1.685999999999999943e+01
-2.134592525724571033e+00,3.938065610333172373e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.240000000000000036e+01
-1.470151703800524290e+00,4.050827129058720111e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.450000000000000000e+01
-1.377956648051088084e+00,4.358110188908179694e+00,6.900000000000000000e+01,0.000000000000000000e+00,1.130000000000000071e+01
-1.897133251319928160e+00,3.940311789715305935e+00,1.770000000000000000e+02,0.000000000000000000e+00,1.240000000000000036e+01
-3.106484414677529227e+00,4.942090160552940148e+00,1.760000000000000000e+02,0.000000000000000000e+00,1.341000000000000014e+01
-1.082223534911362917e+00,4.750746853856172791e+00,1.720000000000000000e+02,0.000000000000000000e+00,1.033000000000000007e+01
-7.644518517759829379e+00,4.691532116780540385e+00,1.180000000000000000e+02,0.000000000000000000e+00,1.357000000000000028e+01
-4.528098936478293979e+00,3.327641612875298360e+00,1.190000000000000000e+02,0.000000000000000000e+00,1.438000000000000078e+01
1.437505621302908876e-01,9.560692997953285088e-01,2.630000000000000000e+02,0.000000000000000000e+00,1.310999999999999943e+01
-5.612805429599641016e+00,4.042031141120690840e+00,1.470000000000000000e+02,0.000000000000000000e+00,1.510999999999999943e+01
-6.530708720190662397e+00,2.872173841787479365e+00,2.080000000000000000e+02,0.000000000000000000e+00,1.372000000000000064e+01
-5.958909352718990249e+00,1.988820957868962847e+00,1.460000000000000000e+02,0.000000000000000000e+00,1.130000000000000071e+01
-7.018095862907332894e+00,2.667201424151693256e+00,2.120000000000000000e+02,0.000000000000000000e+00,1.216999999999999993e+01
