xaxis,yaxis,filename,cluster,flog
-2.552166375393109021e+01,-8.685827492485053369e+00,6.400000000000000000e+01,0.000000000000000000e+00,1.001800000000000068e+02
-2.152897224490511974e+01,-2.103394828761046398e+01,7.100000000000000000e+01,0.000000000000000000e+00,5.530000000000000249e+00
-1.700910033451512859e+01,-1.554159195673735105e+01,3.630000000000000000e+02,0.000000000000000000e+00,9.359999999999999432e+00
-2.176234630548453453e+01,-1.955577553179138306e+01,1.710000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-2.402156503134955301e+01,-1.463066492529354612e+01,3.640000000000000000e+02,0.000000000000000000e+00,3.870000000000000107e+00
-2.069299107997573728e+01,-1.159686115985227062e+01,2.980000000000000000e+02,0.000000000000000000e+00,4.240000000000000213e+00
-2.311849716111161612e+01,-9.362573755846785417e+00,6.500000000000000000e+01,0.000000000000000000e+00,3.870000000000000107e+00
-2.059991348034440151e+01,-1.104096186137414826e+01,1.300000000000000000e+02,0.000000000000000000e+00,4.240000000000000213e+00
-2.008274201416030635e+01,-1.127844795406916489e+01,1.740000000000000000e+02,0.000000000000000000e+00,6.740000000000000213e+00
-1.812087264131491082e+01,-1.442448980736949338e+01,3.700000000000000000e+02,0.000000000000000000e+00,6.599999999999999645e+00
-2.088956105988253498e+01,-1.295626455687062695e+01,1.700000000000000000e+02,0.000000000000000000e+00,4.240000000000000213e+00
-1.995940694883843847e+01,-1.449540479808222315e+01,3.710000000000000000e+02,0.000000000000000000e+00,5.230000000000000426e+00
-2.090863329976139795e+01,-1.962318110400095605e+01,5.900000000000000000e+01,0.000000000000000000e+00,4.400000000000000355e+00
-1.901020832456753240e+01,-1.577341312396168505e+01,5.800000000000000000e+01,0.000000000000000000e+00,6.209999999999999964e+00
-2.140330730777991164e+01,-1.992465160853727113e+01,1.750000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-2.089411934956662620e+01,-1.272570149171153275e+01,5.600000000000000000e+01,0.000000000000000000e+00,4.240000000000000213e+00
-2.058017901351164980e+01,-9.885923521193401342e+00,3.740000000000000000e+02,0.000000000000000000e+00,1.047999999999999972e+02
-1.910710135221047778e+01,-9.231131634804624397e+00,3.750000000000000000e+02,0.000000000000000000e+00,6.280000000000000249e+00
-1.993985946578544599e+01,-1.232787406621736714e+01,3.770000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-2.157905793272598416e+01,-1.915215788439700972e+01,2.940000000000000000e+02,0.000000000000000000e+00,4.400000000000000355e+00
-1.716880442201284040e+01,-1.545257320991662020e+01,1.780000000000000000e+02,0.000000000000000000e+00,6.589999999999999858e+00
-2.205965939442141277e+01,-1.955195541034570894e+01,6.000000000000000000e+01,0.000000000000000000e+00,4.400000000000000355e+00
-2.225277215074592974e+01,-1.795620991733985861e+01,3.610000000000000000e+02,0.000000000000000000e+00,3.870000000000000107e+00
-8.029889551680939874e+00,-2.901464997846855809e+01,7.400000000000000000e+01,0.000000000000000000e+00,9.750000000000000000e+00
-2.093538654348056127e+01,-1.137732670876629726e+01,2.700000000000000000e+02,0.000000000000000000e+00,4.240000000000000213e+00
-2.137278942387348124e+01,-1.047193673226406041e+01,3.300000000000000000e+02,0.000000000000000000e+00,1.042399999999999949e+02
-2.241476269059852910e+01,-2.019263728617717035e+01,9.800000000000000000e+01,0.000000000000000000e+00,4.400000000000000355e+00
